price,lat,lon,usable_area,land_area,garage,new,furnished,cellar,parkingLots,reconstructed
9386000,49.77122609200628,14.70816990799372,137,907,1,0,1,1,0,0
5279000,49.52027209200628,14.62306090799372,84,2505,0,0,0,1,1,0
29332000,50.069326092006285,14.78314190799372,537,1679,1,0,0,1,1,1
445000,50.75666109200628,14.19604990799372,14,341,0,0,0,0,0,0
15839000,49.76513809200628,18.40517890799372,152,1000,1,1,0,0,1,0
17599000,50.12932309200628,14.58835290799372,143,325,0,0,0,0,1,0
22750000,49.990869092006285,14.36533990799372,234,769,0,0,0,0,0,0
7978000,50.065465092006285,16.47538290799372,366,599,1,0,0,1,1,0
8201000,49.82576909200628,14.58565990799372,211,757,1,0,1,1,1,0
10395000,49.96063309200628,14.75248990799372,114,415,0,1,0,0,1,0
2686000,50.99287109200628,14.48724390799372,241,1317,1,0,1,0,0,0
9374000,50.07640609200628,14.98433090799372,175,1125,0,0,0,0,1,0
13727000,50.04080709200628,14.68986890799372,164,235,0,0,0,0,0,0
35175000,49.07245409200628,13.69073790799372,671,2272,0,0,1,1,1,1
12307000,50.15786809200628,14.20433990799372,136,315,0,1,1,0,1,0
5590000,50.42198309200628,16.176248907993717,170,1060,1,0,0,1,1,0
4687000,49.56649109200628,15.14810690799372,306,958,1,1,0,1,1,0
8201000,50.73066009200628,15.20959790799372,251,3028,1,0,1,1,1,0
14771000,49.04394609200628,16.499414907993717,288,342,1,0,0,1,0,0
9327000,50.00284709200629,14.25178090799372,117,600,1,0,0,1,1,0
25753000,49.97831809200628,14.22162490799372,222,1112,1,1,1,0,1,0
23465000,50.053071092006284,14.73160990799372,194,869,1,0,0,0,1,0
16426000,50.18481909200628,14.56996090799372,192,612,1,0,0,1,0,0
14654000,50.02261809200628,14.21973290799372,118,198,0,0,0,0,1,0
12425000,49.95255409200628,14.46286290799372,175,378,0,0,0,0,0,0
5854000,49.29878709200628,17.775051907993717,87,1036,1,0,1,0,0,0
3484000,49.26456209200628,16.963198907993718,129,274,0,0,0,1,1,0
14079000,49.98121709200628,14.60946390799372,131,376,0,0,0,0,0,0
9268000,50.24646509200628,14.11437290799372,114,5109,0,0,0,0,1,0
2100000,50.63096309200628,14.15905890799372,28,2490,0,0,0,0,0,0
9374000,50.37750709200628,13.27832790799372,218,921,1,0,0,1,0,0
15198000,50.12334909200628,14.38428090799372,112,778,0,0,0,1,0,0
22257000,50.16525009200628,14.53732390799372,253,1262,0,0,0,0,0,0
11263000,50.33329509200628,14.42620690799372,175,359,0,0,0,0,1,0
9268000,50.24748709200628,14.10954290799372,114,5109,0,0,0,0,1,0
11674000,49.76964709200628,14.28973590799372,516,500,1,0,1,1,1,0
9386000,49.76522209200628,16.933538907993718,376,617,0,0,0,0,0,1
8505000,50.34446109200629,15.93309690799372,112,421,0,0,0,0,0,0
23454000,50.102929092006285,14.62876790799372,393,835,1,0,0,1,1,0
23454000,50.05957109200628,14.51035190799372,280,404,1,0,0,1,1,0
17587000,49.73494409200628,14.00423990799372,275,2340,1,0,1,1,0,0
8787000,50.21816409200628,12.84328190799372,126,415,1,0,1,1,1,0
6388000,50.63307709200628,15.26696190799372,468,164,0,0,0,0,1,0
